site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
BLUEFISH_DC,-121.945094,36.52381268,2003,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2003,OUTER,2,NERLUE,3,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2003,INNER,1,NERLUE,3,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2003,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2003,MID,1,NERLUE,11,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2003,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,INNER,1,NERLUE,36,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,INNER,2,NERLUE,99,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2004,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2005,INNER,1,NERLUE,4,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2005,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2005,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2005,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2005,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,INNER,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,OUTER,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2006,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,OUTER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2007,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,INNER,1,NERLUE,11,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,INNER,2,NERLUE,12,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,MID,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,MID,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,OUTER,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2008,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2009,INNER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,INNER,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,MID,1,NERLUE,4,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,MID,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2010,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,INNER,2,NERLUE,10,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,OUTER,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,OUTER,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2011,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,INNER,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2013,INNER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,INNER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,MID,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,MID,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2014,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,INNER,1,NERLUE,16,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,INNER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,MID,1,NERLUE,16,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,OUTER,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2015,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,INNER,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2016,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2017,INNER,1,NERLUE,9,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2017,INNER,2,NERLUE,6,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2017,MID,1,NERLUE,7,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2017,MID,2,NERLUE,11,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2017,OUTER,1,NERLUE,0,pisco,NA
